node_id,node_name,expr_type,expr_text,output_alias,line
98,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,FUNCTION,0,СуммаВРезервы,8
99,Часть_1,ARITHMETIC,"ЕСТЬNULL(СУММА(ВЫБОР
				КОГДА Резервы.ВидДвижения = ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА Резервы.Сумма
				КОГДА Резервы.ВидДвижения = ЗНАЧЕНИЕ(ВидДвиженияНакопления.Расход)
					ТОГДА -Резервы.Сумма
			КОНЕЦ), 0)",Сумма,7
99,Часть_1,FUNCTION,0,СуммаВРезервы,8
100,Часть_2,FUNCTION,0,Сумма,7
100,Часть_2,ARITHMETIC,"ЕСТЬNULL(СУММА(ВЫБОР
				КОГДА Резервы.ВидДвижения = ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА -Резервы.Сумма
				КОГДА Резервы.ВидДвижения = ЗНАЧЕНИЕ(ВидДвиженияНакопления.Расход)
					ТОГДА Резервы.Сумма
			КОНЕЦ), 0)",СуммаВРезервы,8
101,ВТ_ПереводыИзРегистров_РегистрыТранзитныеВиды,FUNCTION,1,Раздел,1
102,Часть_1,FUNCTION,1,Раздел,1
103,Часть_2,FUNCTION,1,1,1
103,Часть_2,FUNCTION,0,0,7
104,ВТ_ПереводыТранзитныеВиды,AGGREGATE,СУММА(ВТ_ПереводыИзРегистров_РегистрыТранзитныеВиды.Сумма),Перевод,5
104,ВТ_ПереводыТранзитныеВиды,AGGREGATE,СУММА(ВТ_ПереводыИзРегистров_РегистрыТранзитныеВиды.СуммаВРезервы),ПереводВРезервы,6
105,ВТ_ОстаткиТранзитныеВиды_Предв,CASE,"ВЫБОР
		КОГДА ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств <= &НачалоПериода
			ТОГДА ISNULL(ВТ_Суммы_ПР_ТранзитныеВиды.ОстатокВх, 0)
		ИНАЧЕ 0
	КОНЕЦ",НачальныйОстаток20,5
105,ВТ_ОстаткиТранзитныеВиды_Предв,ISNULL,"ISNULL(ВТ_Суммы_ПР_ТранзитныеВиды.Взносы, 0)",Взносы26,6
105,ВТ_ОстаткиТранзитныеВиды_Предв,ISNULL,"ISNULL(ВТ_Суммы_ПР_ТранзитныеВиды.ИнвестиционныйДоход, 0)",ИнвестиционныйДоход27,7
