node_id,node_name,source_name,source_kind,ordinal
96,ВТ_ПеремещенияВСтраховойРезервТранзитныеВиды,РЕГИСТРНАКОПЛЕНИЯ.УП_РЕЗЕРВЫ,AccumulationRegister,2
97,Подзапрос_13,ВТ_ТИПЫРЕЗЕРВОВ,TempTable,1
99,Часть_1,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
99,Часть_1,РЕГИСТРНАКОПЛЕНИЯ.УП_РЕЗЕРВЫ,AccumulationRegister,2
99,Часть_1,ВТ_ПЕРЕВОДЫИЗРЕГИСТРОВ_ВИДЫДВИЖЕНИЙ,TempTable,3
100,Часть_2,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
100,Часть_2,РЕГИСТРНАКОПЛЕНИЯ.УП_РЕЗЕРВЫ,AccumulationRegister,2
100,Часть_2,ВТ_ПЕРЕВОДЫИЗРЕГИСТРОВ_ВИДЫДВИЖЕНИЙ_ВРЕЗЕРВЫ,TempTable,3
102,Часть_1,ВТ_ПЕРЕВОДЫИЗРЕГИСТРОВ_РЕЗЕРВЫТРАНЗИТНЫЕВИДЫ,TempTable,1
103,Часть_2,ВТ_ПЕРЕМЕЩЕНИЯВСТРАХОВОЙРЕЗЕРВТРАНЗИТНЫЕВИДЫ,TempTable,1
104,ВТ_ПереводыТранзитныеВиды,ВТ_ПЕРЕВОДЫИЗРЕГИСТРОВ_РЕГИСТРЫТРАНЗИТНЫЕВИДЫ,TempTable,1
105,ВТ_ОстаткиТранзитныеВиды_Предв,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
105,ВТ_ОстаткиТранзитныеВиды_Предв,ВТ_СУММЫ_ПР_ТРАНЗИТНЫЕВИДЫ,TempTable,2
105,ВТ_ОстаткиТранзитныеВиды_Предв,ВТ_ВЫПЛАТЫТРАНЗИТНЫЕВИДЫ,TempTable,3
105,ВТ_ОстаткиТранзитныеВиды_Предв,ВТ_ПЕРЕВОДЫТРАНЗИТНЫЕВИДЫ,TempTable,4
106,ВТ_ТранзитныеВидыНачалоКонец_Суммы,ВТ_ОСТАТКИТРАНЗИТНЫЕВИДЫ_ПРЕДВ,TempTable,1
107,ВТ_ТранзитныеВиды_ГруппыСчетов,РЕГИСТРСВЕДЕНИЙ.ИФРС17_ГРУППЫСЧЕТОВНПО,InformationRegister,1
107,ВТ_ТранзитныеВиды_ГруппыСчетов,СПРАВОЧНИК.ИФРС17_ГРУППЫДОГОВОРОВНПО,Catalog,2
107,ВТ_ТранзитныеВиды_ГруппыСчетов,СПРАВОЧНИК.ИФРС17_ПАРАМЕТРЫГРУППЫДОГОВОРОВНПО,Catalog,3
107,ВТ_ТранзитныеВиды_ГруппыСчетов,СПРАВОЧНИК.ИФРС17_ПОРТФЕЛЬДОГОВОРОВНПО,Catalog,4
108,Подзапрос,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
