node_id,node_name,join_type,left_source,left_alias,right_source,right_alias,on_expression
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ПенсионныеСчетаРПВ,ВТ_ПенсионныеСчетаРПВ,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ПенсионныеСчетаРПВ.ПенсионныйСчет
116,ВТ_ПенсионныеСчетаСПТ,INNER JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,Справочник.уп_ПенсионныеСчета,уп_ПенсионныеСчета,ВТ_ПенсионныеСчета.ПенсионныйСчет = уп_ПенсионныеСчета.Ссылка
116,ВТ_ПенсионныеСчетаСПТ,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,Справочник.уп_ШаблоныДоговоров,уп_ШаблоныДоговоров,(уп_ПараметрыПенсионногоДоговораСрезПоследних.ШаблонДоговора = уп_ШаблоныДоговоров.Ссылка)
117,ВТ_ПенсионныеСчета_Свойства,INNER JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,Справочник.уп_ПенсионныеСчета,уп_ПенсионныеСчета,ВТ_ПенсионныеСчета.ПенсионныйСчет = уп_ПенсионныеСчета.Ссылка
117,ВТ_ПенсионныеСчета_Свойства,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,ВТ_ПричиныЗакрытия,ВТ_ПричиныЗакрытия,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ПричиныЗакрытия.ПенсионныйСчет
117,ВТ_ПенсионныеСчета_Свойства,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,ВТ_ВидыПенсионныхСчетов,ВТ_ВидыПенсионныхСчетов,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ВидыПенсионныхСчетов.ПенсионныйСчет
117,ВТ_ПенсионныеСчета_Свойства,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчетаРПВ,ВТ_ПенсионныеСчетаРПВ,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ПенсионныеСчетаРПВ.ПенсионныйСчет
117,ВТ_ПенсионныеСчета_Свойства,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчетаСПТ,ВТ_ПенсионныеСчетаСПТ,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ПенсионныеСчетаСПТ.ПенсионныйСчет
117,ВТ_ПенсионныеСчета_Свойства,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,Справочник.ИФРС17_ПортфельДоговоровНПО,ИФРС17_ПортфельДоговоровНПО,(ИФРС17_ПараметрыГруппыДоговоровНПО.ПортфельДоговоровНПО = ИФРС17_ПортфельДоговоровНПО.Ссылка)
132,ВТ_ПенсионныеДоговоры_Свойства,LEFT JOIN,ВТ_ПенсионныеДоговоры,ВТ_ПенсионныеДоговоры,Справочник.уп_ПенсионныеДоговоры,уп_ПенсионныеДоговоры,ВТ_ПенсионныеДоговоры.ПенсионныйДоговор = уп_ПенсионныеДоговоры.Ссылка
